"Metric","Value"
"Log-rank p-value","3.1e-08"
"1-year AUC","0.742"
"3-year AUC","0.765"
"5-year AUC","0.76"
"C-index","0.717"
"High Risk N","110"
"Low Risk N","111"
"Total Events","85"
"Selected Genes","HDAC3, HMOX1, NOX4, HMOX2, CBS, ACLY, VDAC2, GCLC, HSPA5, SLC39A7, ADGRG1, ACSL6, ALOX5, GPX4, NQO1"
